address,timestamp,amount,type
0x1c494f1919c1512ebe74a5dcc17dac9a64069023,86149956,1618915833409580000000,EOA
0xb8aa5d63491c087d40fee4311a89b1dcd74b0fdb,98563076,1617632379044110000000,EOA
0xc766d73be01caa06834032bf5c8f8f0f41a7bf36,85189519,1614263505617640000000,EOA
0xb020936042fbf3472b6bdb34628bcca3cf78da4c,78097436,1607237222565260000000,EOA
0x480a1309f9bcc435be85998f54db2d440b1a892f,107336122,1599211892270090000000,EOA
0xb13e63a5bfa4e4532f808987e374b132dc6a0e18,91633349,1592338438729560000000,EOA
0x94c07beaec7e4d36de056a2630d17271e0acacd6,24773196,1588040223421390000000,EOA
0xc399cb4679a5f59a6a4f00473437d0273dd5d7b4,94375930,1565671321178470000000,EOA
0xb2467f2db0c62c9cdb7482a0a71a3f4f6f9c32a5,83238414,1564909558310730000000,EOA
0xd762205476ea5649c689a8a703488572c8b3007d,77020318,1564908904686200000000,EOA
0x75b94b59e59f31f1c1744396c189a4f22cc569e2,48512308,1564908904686140000000,EOA
0xefdcea99cdb77ec4f0a474dda114a6f84a0f3823,48465494,1555834939440040000000,EOA
0x5d2d82af3e07b5dd17b19541c4a21e51366d1a34,87757375,1547094895484140000000,EOA
0x9824697f7c12cabada9b57842060931c48dea969,89240517,1533610726592470000000,EOA
0x3cda08793efc7d056260886d43866d878c2630fa,84853526,1533035416662990000000,EOA
0xa3d06aa70d505e0435de808b386d297cf347bf31,82483501,1524673108297530000000,EOA
0x44ad5fa4d36dc37b7b83bad6ac6f373c47c3c837,86212645,1499583951613760000000,EOA
0x7c1bbfada0e2353eeb6820c64731797f63a8e571,79045516,1493884562577780000000,EOA
0x7736d00b07876bb87c4da13179a1535bbca163c9,78452372,1477173586717520000000,EOA
0x140a1773d1a44393a4dc5397285b2e0ca86dff5b,87948932,1461457401146650000000,EOA
0xe8a83b1f3ea6d27ed3837f36cbab83f43144755a,45391324,1435514141361130000000,EOA
0x1aaf5e41c2c73617bc120097547a3410caf6718a,84323400,1428269972154390000000,EOA
0x05a26d30ba09911bac14f38773ca44999104bd5b,96076016,1427545494254140000000,EOA
0x5ed4a05aa8f4c057a679c340637af7790320f052,34852319,1427196921073810000000,EOA
0xec7012d6e1037024561359c20dc818f92de56412,77314422,1422852293888770000000,EOA
0xd5dd2d695e921bf0a8da750199397c3c33b129e6,83674495,1419880309889450000000,EOA
0xbba2379f5cc9a2f248c5cf18ad72379ae2478f42,96371583,1415894804239830000000,EOA
0x881DD85238ca7a71d12e6499405c9A51A25355C6,88272644,1404796199795090000000,EOA
0x1e360bc4d5631766474d1af48e4e470c17891315,92281936,1400017846459300000000,EOA
0x34dccfae06202d1167797870679fc1fb9ef7a523,55428873,1380392337469350000000,EOA
0x6994ba66fd6789044c4ad43786cc16840d099c8a,85830609,1367329844404590000000,EOA
0x432fcd67815d5cc72808a7815a02373fdee7d740,105177016,1337847101366490000000,EOA
0x174e070920007350fa0193e0321f9bbd3984949e,100172784,1329550938658660000000,EOA
0x510d0e4def20c6bfd84f080bc424bac5c66941f4,35736053,1327916522753610000000,EOA
0x773743e9e4d124d7b79c98799da8c1e14f032080,89107183,1326545088244760000000,EOA
0x9c52dc78bd84007bf63987806f0aeeece0ef14a6,84859221,1291485893664980000000,EOA
0xc00a6614b8030ce216302016e11c6b4140b5e499,89854876,1287067596910870000000,EOA
0xe33de5c1d7a2f91149f179bd35be4ac503d2f09f,80920968,1274910436944440000000,EOA
0xe298378925d7ca64d45d5d0a88c2d6d85ceafd57,80317108,1270652956056120000000,EOA
0x4693c4fc40c93193b4d9bae0a9d0b66356e71066,85570332,1257940330465070000000,EOA
0xc5df8672232f1c2b75310e4f2b80863721705a12,106179528,1256911346528950000000,EOA
0xa1958a37c21372482deff4618baebbec23c9a449,83707706,1255239204187850000000,EOA
0x6980e09b44f5b59cc1c423afde8ba10200ae4535,21303975,1253179050872710000000,EOA
0x94cca8143fa05c42804e14e290e75bf0fb26c7b8,102016134,1252957935346170000000,EOA
0x5fb06990683e6a57ce9608702454ee55d30fb0d3,78576626,1251986521423970000000,EOA
0xcac99e3f8c56d5508b79e0d773f08c41a15152b6,78622301,1251958421927050000000,EOA
0x625e3b36d2a8bb362254fd6a6206b0b618ccdfb9,80642400,1251927123748960000000,EOA
0x62959c75b0ad2f02db9a458fadd2843cbb1a9e6e,82749057,1251927123748960000000,EOA
0x6aed19abab347eb07a2c8b264fc5c4c1b002210b,84844213,1251927123748960000000,EOA
0x7ce549b40a68a64df72981e3146e5352aeb379c3,24702221,1251927123748960000000,EOA
0x8d309de16a745c15ffa00a46da4eb3e044c54d63,33283251,1251927123748960000000,EOA
0xe070e13c4af740a93109715b0c7c2ba7c30c4ef2,78104461,1251927123748960000000,EOA
0xe5ae5aac9a19ec43abdd161e95640a1cc12ae348,97962509,1251927123748960000000,EOA
0xf2da8b05f3a9d20e3331326ee48d19a21842dfeb,98866717,1238988427323890000000,EOA
0xe6fa7a5d3538ca68b2272bcf9666faf31f274815,63995001,1225585112184130000000,EOA
0xc2f9118d721c50cf9232c45d52f4007fddef2108,82833878,1207313661672940000000,EOA
0xe3dff97e14f3a55228ed2f614114bf6b27a7677b,81714804,1192493211443540000000,EOA
0xd2276d87a3854ea6f4adc82c25e1f1ecb4e23f84,81305732,1165668030581600000000,EOA
0x68deb97e36275fe189f4d9db80e53aa96b17a04c,47665049,1156478567644670000000,EOA
0x4bf1fbc233cd6109c35a4cd9d34540173af3234c,84060375,1148255799948090000000,EOA
0x6c8e4d6f376336871821dbe369bfe444fdd1fc99,81148939,1138157005333930000000,EOA
0x4dec19003f9bb01a4c0d089605618b2d76dee30d,51102904,1136986189224260000000,EOA
0xaf4f29c256437437354dc020b57ff73b223c18e6,54811509,1136118419355360000000,EOA
0x9b52010910bbce6b2fa9a23b61551d6e365fb5e8,104478487,1132603291542690000000,EOA
0xba0c565110f65d181b9ff1d8a9f787b52857bb0c,90186012,1128122006207810000000,EOA
0xc6153e14a2340977ddfc8e4892a62253138461ce,49527830,1111096524610660000000,EOA
0xc928499a080594c8854d1a46dcae5e862acc5d08,77628412,1109431618086210000000,EOA
0x2bab943d78b02326bdb3475a202e49775c8e28c8,99716921,1099003644126280000000,EOA
