Total QI locked,"72,311,886",,,,,,,
"QI locked, not counting liquid lockers","65,758,243",,,,,,,
QI locked by liquid lockers,"6,553,642",,,,,,,
Total QI to be distributed (80%),"57,849,509",,,,,,,
Total BPT tokens for aveQI migration,"9,052,921",,,,,,,
Share of BPTs distributed to non-liquid lockers,90.94%,,,,,,,
Share of BPTs distributed to liquid lockers,9.06%,,,,,,,
Total BPT tokens distributed to non-liquid lockers,"8,232,453",,,,,,,
Total BPT tokens distributed to liquid lockers,"820,468",,,,,,,
,,,,,,,,
address,polygon endblock,amount,share of total BPTs,share of non-liquid locker BPTs,share of liquid locker BPTs,amount of non-liquid locker distribution,amount of liquid locker distribution,type
0x73f13990070d5dd94c8e4ea9562f2d617d0487d7,80825852,"28,725.74",0.0397248%,0.0436839%,NA,"3,596.2533378",,EOA
0x0e54edd4cf6568de41fc67eaa71aeb52885999c7,81898361,"28,634.95",0.0395992%,0.0435458%,NA,"3,584.8866283",,EOA
0x389ec0bd4179dc95ede96716bc63cd4bb7c49377,86387871,"28,424.03",0.0393075%,0.0432250%,NA,"3,558.4810340",,EOA
0xb063608c9eb40c21beabe18b214714e0a8f28ced,47523331,"27,984.34",0.0386995%,0.0425564%,NA,"3,503.4359087",,EOA
0x00e839bc0c9a130afe30974914c4b0100756cff4,83771455,"27,907.13",0.0385927%,0.0424390%,NA,"3,493.7694462",,EOA
0x3280e3da7aebc769cf788de7ef8a192365532f9b,52555497,"27,696.98",0.0383021%,0.0421194%,NA,"3,467.4605116",,EOA
0x0b128f624078f9e7a1dcd58a275b445f57f20df8,83485603,"27,471.09",0.0379897%,0.0417759%,NA,"3,439.1808643",,EOA
0x1714c8b220bf40e1bedcf3f7713132b6d42e7bd1,29387905,"27,284.33",0.0377315%,0.0414919%,NA,"3,415.7996621",,EOA
0x98ede5a956f7dd2d540a7872e5b7b9471bda20a3,82359215,"27,192.65",0.0376047%,0.0413525%,NA,"3,404.3220973",,EOA
0x3d1df542e606c2981b6acae463afaed9d9ef1129,85050676,"27,171.52",0.0375754%,0.0413203%,NA,"3,401.6758142",,EOA
0x943799a3d65c2f6e88c849a4a10a14eb39b007bf,82283482,"27,012.99",0.0373562%,0.0410792%,NA,"3,381.8293081",,EOA
0xb8b5678fb2ed1df5f8e04dd418d255796b97e6c1,108198068,"26,945.55",0.0372630%,0.0409767%,NA,"3,373.3863223",,EOA
0x1b72bac3772050fdcaf468cce7e20deb3cb02d89,87272747,"26,807.14",0.0370715%,0.0407662%,NA,"3,356.0579585",,EOA
0x259380175dbd94dfafe6640526348ffd305de8bf,86446896,"26,589.40",0.0367704%,0.0404351%,NA,"3,328.7989926",,EOA
0x8bcf10d5bd8a0ff835221dd2a9c794b435c52813,84585273,"26,175.73",0.0361984%,0.0398060%,NA,"3,277.0110114",,EOA
0xb1028c2d61337589e515d6bdb949ed97935518b2,96362511,"25,956.15",0.0358947%,0.0394721%,NA,"3,249.5202648",,EOA
0x60fba3b1d069e1317d2b4b718739e280fbad9896,108476989,"25,000.00",0.0345725%,0.0380180%,NA,"3,129.8178094",,EOA
0x3d7849a51a2da3b3b455ca6a6d604c902f82e7c2,33338155,"24,699.69",0.0341572%,0.0375614%,NA,"3,092.2216818",,EOA
