address,seconds until unlock,distribution amount (BPTs)
0xbcc181046fd96ccadf0cebe30d4ff67d4373a126,90869856,"2,567.414739561370000000"
0x37fabdb1d081f0a69ffd2a9525d71cf220041dd4,81674887,"2,541.003317842230000000"
0x97b342386b4291d22f5bf573715bdc23d38b173f,87535492,"2,516.870086331950000000"
0x96f249bcf74b349db4b41fc192d25fe84b4520c1,44929811,"2,506.399682636970000000"
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,85023435,"2,503.854262128150000000"
0x40f75477bc81a921f830835dda7efec0e7489c62,48150263,"2,503.854262128150000000"
0xec23615309aa1f56d5d01647e9c5d562ff375ba0,83568006,"2,485.462524059630000000"
0x203b355b1edeb6242011a620bf50c19a6af4f42b,78883708,"2,482.322827962640000000"
0x8565faab405b06936014c8b6bd5ab60376cc051b,84701083,"2,451.273322623460000000"
0x3b202b464616791d2eb1417f9dc40497b6fdd6e9,84548142,"2,363.388038022760000000"
0x7a03b2e8ace63164896717c1b22647aa450954a7,78274422,"2,322.284148505360000000"
0x03e9a17304a1c1fe229965616b7dddcd96579a29,48664874,"2,307.471969238690000000"
0x32f8c8b40b62a73d514e8be0f58074edba533937,81565534,"2,271.151609469230000000"
0xda764491b90207dc2743f8efc5b28543dc5d857a,29486801,"2,253.468835915330000000"
0x1993253bf4f1dfdcd0258a324bff554e6a44a385,99870604,"2,246.700593463880000000"
0x605f302bcd8f53024713282fced7270d95a6fe4c,59241723,"2,209.146919420420000000"
0x27c7e71aef0dc5cbcf7af511f3abac8ee6845685,87514420,"2,161.494208660190000000"
0xfda906bd24eb4d7fd31030f692b797cc681306c9,87535469,"2,116.865136232590000000"
0xad32bc446cc906bfd5f74914f5bd9cbd1443bcd6,84127864,"2,085.850712199890000000"
0x74c7eeed32c2def8f932053eb2137fb59a28fb17,45855872,"2,076.416595773470000000"
0x86341e73d9deb4696b1ae50dbce8f2d62fa06023,35474545,"2,069.843192591340000000"
0x93a79ae91740c54b1221bdb2b44be1cb5eb8ff52,100393360,"2,061.250188751270000000"
0x0d58c2e7b04aba6b64dd21057af573bc3255e12f,86254203,"2,057.806058226940000000"
0x862606a6012fa68019ee26ce4a3b35bc2684beb4,91031580,"2,054.278803022360000000"
0x7795c0475faf6c360c4a5748173c72c4f27424f3,78020606,"2,048.405915934150000000"
0xdec79cee4397202739ed948ef98846774feb53f9,93167930,"2,031.971899863890000000"
0x601cc773c1cb38673be5cbc75ecb3a1b2a79afec,86230805,"1,990.680937966190000000"
0x5f82c97e9b1755237692a946ae814998bc0e2124,41774002,"1,975.189004175010000000"
